season,game_pk,pitcher_id,pitcher_hand,venue_id,archetype,e_bf,e_k,observed_bf,observed_k,park_k_factor_by_hand,days_rest_bucket,pitcher_pre_game_k_pct
2025,777962,669022,L,3309,Breaking-heavy,24.56348288136619,7.405717442914732,27,7,0.9932,first_or_il_return,0.3286682915114633
2025,777963,669854,R,2392,Breaking-heavy,24.271716295613775,5.63947078673389,27,11,1.0364,first_or_il_return,0.22851756820443
2025,777964,656876,R,12,Power-FF,22.786019070126752,5.230831088765711,20,3,1.0726,first_or_il_return,0.25633758463234135
2025,777965,607625,R,7,Breaking-heavy,27.19845849586192,5.19485380193746,22,5,0.9876,first_or_il_return,0.1917266474896499
2025,777967,519242,L,31,Breaking-heavy,23.178806217324652,7.41195806244375,27,8,1.0918,first_or_il_return,0.30780445969125214
2025,777967,669387,R,31,Balanced,23.84074062122202,4.186414067410094,22,2,1.0447,first_or_il_return,0.18874458874458874
2025,777968,571510,L,3289,Balanced,26.32825482701794,5.956022990182066,24,8,1.0543,first_or_il_return,0.23762519959355494
2025,777968,656288,R,3289,Breaking-heavy,24.919349119901874,5.712446322587413,21,5,1.0963,first_or_il_return,0.21903471124162338
2025,777969,543135,R,2394,Offspeed-heavy,24.86692234673461,6.915400026125351,24,7,1.0658,first_or_il_return,0.2708762580770434
2025,777969,681857,R,2394,Offspeed-heavy,23.909641683481322,5.908660742635294,21,5,1.0658,first_or_il_return,0.2361166423293066
2025,777970,670102,R,680,Power-FF,23.8957334583596,5.072522019062088,27,5,1.2369,first_or_il_return,0.1879441733025088
2025,777971,554430,R,5,Power-FF,26.47275439469462,7.770700486355843,25,8,1.0728,first_or_il_return,0.31796521162398755
2025,777971,682847,R,5,Balanced,25.507630566583785,5.436359454527706,23,9,1.0728,first_or_il_return,0.2261048304213772
2025,777972,607074,L,2529,Balanced,24.386565059521168,7.36822207954318,27,10,1.1062,first_or_il_return,0.2902642419371044
2025,777972,676664,L,2529,Breaking-heavy,25.184915269287696,5.450753858771329,20,4,1.1062,first_or_il_return,0.19190104421868706
2025,777973,502043,R,1,Sinker-ball,22.349042355348782,5.060932971254604,22,4,1.1606,first_or_il_return,0.178125425729985
2025,777973,686799,R,1,Sinker-ball,26.371044626702602,3.680672027001213,23,4,1.1606,first_or_il_return,0.11324607815835885
2025,777974,657277,R,3312,Balanced,25.921214084703855,7.087912309313235,27,9,1.0913,first_or_il_return,0.26189863648057626
2025,777974,657746,R,3312,Power-FF,24.213909183941947,7.048429588676921,20,7,1.0913,first_or_il_return,0.28898225957049484
2025,777975,669203,R,15,Balanced,25.742381651005598,5.568345649169618,27,5,1.0194,first_or_il_return,0.2109044703707982
2025,777977,666142,L,7,Balanced,22.304130445264256,7.578043192509774,23,8,1.0379,first_or_il_return,0.35254995286381086
2025,777977,676979,L,7,Power-FF,25.46853758610419,6.965561482941572,30,9,1.0379,first_or_il_return,0.3034429287912194
2025,777978,665795,R,4,Breaking-heavy,23.630748454622072,5.730972455026873,18,2,1.0702,first_or_il_return,0.2297022879155231
